Column1;Column2;Column3
Ylöjärvi;61.557156020°N,;23.596580124°E
Ypäjä;60.805227741°N,;23.272438379°E
Ähtäri;62.552859290°N,;24.075018434°E
Äänekoski;62.603307432°N,;25.724831350°E
Ahlainen;61.678023920°N,;21.626330953°E
Aitolahti;61.545371629°N,;23.892254798°E
Akaa;61.165903424°N,;23.865205205°E
Alahärmä;63.247219766°N,;22.848395518°E
Alastaro;60.951651961°N,;22.863826503°E
Alatornio;65.825163442°N,;24.177258112°E
Alaveteli;63.707310766°N,;23.338537041°E
Angelniemi;60.297685792°N,;22.895885626°E
Anjala;60.684358908°N,;26.798245535°E
Anjalankoski;60.747135803°N,;26.829718992°E
Anttola;61.579027458°N,;27.631665466°E
Artjärvi;60.745490544°N,;26.069016879°E
Askainen;60.571182301°N,;21.865592699°E
Bergö;62.972759101°N,;21.184700076°E
Björköby;63.346645008°N,;21.330105492°E
Bromarv;59.988736849°N,;23.033903438°E
Degerby;60.084472175°N,;24.174842115°E
Dragsfjärd;60.073972599°N,;22.469977516°E
Elimäki;60.719891717°N,;26.461450823°E
Eno;62.805100971°N,;30.154217318°E
Eräjärvi;61.577558095°N,;24.562880582°E
Haaga;60.222458255°N,;24.905532333°E
Haapasaari;60.289133038°N,;27.192320315°E
Halikko;60.398864630°N,;23.073836143°E
Hauho;61.172789385°N,;24.563760472°E
Haukipudas;65.177700607°N,;25.351204915°E
Haukivuori;62.019545498°N,;27.207641672°E
Heinolan;maalaiskunta;61.252625526°N,
Hiittinen;59.892290855°N,;22.523121762°E
Himanka;64.062182265°N,;23.654471782°E
Hinnerjoki;60.993850871°N,;21.991026786°E
Honkilahti;60.967659068°N,;22.112539341°E
Houtskari;60.222880289°N,;21.372262096°E
Huopalahti;60.218456767°N,;24.893352452°E
Hyvinkään;maalaiskunta;60.601625683°N,
Hämeenkoski;61.021878572°N,;25.154750020°E
Hämeenlinnan;maalaiskunta;61.007591186°N,
Iisalmen;maalaiskunta;63.518085031°N,
Ikaalisten;maalaiskunta;61.758943932°N,
Iniö;60.397234154°N,;21.387278174°E
Jaala;61.052494081°N,;26.476097463°E
Jalasjärvi;62.492370733°N,;22.762966942°E
Jepua;63.402545495°N,;22.653434832°E
Joutseno;61.118181182°N,;28.508515282°E
Juankoski;63.065956601°N,;28.329702098°E
Jurva;62.686356052°N,;21.983420608°E
Jyväskylän;maalaiskunta;62.247863538°N,
Jämsänkoski;61.919113195°N,;25.174355532°E
Jäppilä;62.379300988°N,;27.422703947°E
Kaarlela;63.828966855°N,;23.136222409°E
Kajaanin;maalaiskunta;64.231140508°N,
Kakskerta;60.365460724°N,;22.211244632°E
Kalanti;60.819323718°N,;21.560185791°E
Kalvola;61.100812652°N,;24.121769404°E
Kangaslampi;62.296925197°N,;28.249975448°E
Karhula;60.514648301°N,;26.937804121°E
Karinainen;60.702349225°N,;22.757685643°E
Karjaa;60.071935569°N,;23.666402301°E
Karjaan;maalaiskunta;60.137732304°N,
Karjala;60.837911185°N,;22.000167087°E
Karjalohja;60.241807841°N,;23.719317265°E
Karkku;61.444358617°N,;23.045605424°E
Karttula;62.896301683°N,;26.970457078°E
Karuna;60.269443336°N,;22.545240975°E
Karunki;66.037455145°N,;24.022315186°E
Kauvatsa;61.337205133°N,;22.503074222°E
Keikyä;61.281862334°N,;22.689638864°E
Kemijärven;maalaiskunta;66.697388771°N,
Kemiö;60.167949947°N,;22.737645193°E
Kerimäki;61.910693858°N,;29.282286369°E
Kestilä;64.350019232°N,;26.279208112°E
Kesälahti;61.892534981°N,;29.827672796°E
Kiihtelysvaara;62.495252275°N,;30.250823614°E
Kiikala;60.460387738°N,;23.552816316°E
Kiikka;61.320789489°N,;22.775438598°E
Kiikoinen;61.453843080°N,;22.576993522°E
Kiiminki;65.129703741°N,;25.773070250°E
Kisko;60.244338280°N,;23.476389522°E
Kiukainen;61.212446169°N,;22.084501962°E
Kodisjoki;61.027344344°N,;21.687380697°E
Koijärvi;60.937749085°N,;23.651837353°E
Koivulahti;63.161811001°N,;21.839309693°E
Konginkangas;62.779294471°N,;25.806376275°E
Korpilahti;62.016072416°N,;25.559049449°E
Korppoo;60.162511888°N,;21.564757008°E
Kortesjärvi;63.300295790°N,;23.155027673°E
Koskenpää;62.081435567°N,;25.139969310°E
Kuhmalahti;61.481734784°N,;24.702411887°E
Kuivaniemi;65.578469473°N,;25.188134372°E
Kullaa;61.472418478°N,;22.153809324°E
Kulosaari;60.185720391°N,;25.005145903°E
Kuopion;maalaiskunta;62.776129628°N,
Kuorevesi;61.862987162°N,;24.826486444°E
Kuru;61.876998991°N,;23.725514361°E
Kuusankoski;60.906967540°N,;26.624278431°E
Kuusisto;60.383762085°N,;22.387930395°E
Kuusjoki;60.520373108°N,;23.220918110°E
Kylmäkoski;61.150579480°N,;23.690074040°E
Kymi;60.569884329°N,;26.981882348°E
Kälviä;63.859103546°N,;23.452912796°E
Köyliö;61.115617061°N,;22.309671524°E
Lammi;61.077547593°N,;25.010948372°E
Lappee;60.866626463°N,;28.298681105°E
Lappi;61.101966682°N,;21.835105700°E
Lapväärtti;62.250417802°N,;21.521730028°E
Lauritsala;61.070564908°N,;28.264734170°E
Lavia;61.597406091°N,;22.592339251°E
Lehtimäki;62.818576780°N,;23.943562243°E
Leivonmäki;61.915098816°N,;26.122989820°E
Lemu;60.567543032°N,;21.974724354°E
Liljendal;60.573461293°N,;26.052577829°E
Lohjan;kunta;60.200962572°N,
Lohtaja;64.022504578°N,;23.502565312°E
Loimaan;kunta;60.873173659°N,
Lokalahti;60.680890663°N,;21.465226098°E
Luopioinen;61.363374558°N,;24.657039187°E
Luvia;61.361313065°N,;21.623517160°E
Längelmäki;61.728745609°N,;24.787382572°E
Maaninka;63.155739588°N,;27.300158583°E
Maaria;60.537109736°N,;22.349742030°E
Maksamaa;63.215639141°N,;22.059061807°E
Mellilä;60.780003605°N,;22.927770409°E
Merimasku;60.481130674°N,;21.870940823°E
Messukylä;61.481570665°N,;23.839329366°E
Metsämaa;60.939728842°N,;23.152005812°E
Mietoinen;60.627348268°N,;21.926900831°E
Mikkelin;maalaiskunta;61.676976709°N,
Mouhijärvi;61.513560937°N,;23.003662068°E
Munsala;63.453185545°N,;22.437132826°E
Muurla;60.349470959°N,;23.279628272°E
Muuruvesi;63.014697549°N,;28.202154074°E
Mänttä;62.033290911°N,;24.621710861°E
Naantalin;maalaiskunta;60.467516278°N,
Nastola;60.947743405°N,;25.930078489°E
Nauvo;60.192713086°N,;21.909237416°E
Nilsiä;63.204354584°N,;28.085180693°E
Noormarkku;61.593732028°N,;21.869581204°E
Nuijamaa;60.961580142°N,;28.538480025°E
Nummi;60.392717139°N,;23.885540514°E
Nummi-Pusula;{{Coord|||nimi=Nummi-Pusula}};selvennä
Nurmeksen;maalaiskunta;63.556178749°N,
Nurmo;62.828702831°N,;22.909891012°E
Oravainen;63.299341216°N,;22.378884540°E
Oulujoki;65.006321789°N,;25.563557067°E
Oulunkylä;60.231331392°N,;24.952287743°E
Oulunsalo;64.933963580°N,;25.408499647°E
Paattinen;60.593101776°N,;22.384170211°E
Paavola;64.607145088°N,;25.206426107°E
Paraisten;maalaiskunta;60.282669063°N,
Pattijoki;64.693420434°N,;24.575072925°E
Pernaja;60.447020549°N,;26.031083639°E
Perniö;60.203107189°N,;23.126047435°E
Pertteli;60.449924897°N,;23.237812103°E
Peräseinäjoki;62.562014385°N,;23.062332645°E
Petolahti;62.838654404°N,;21.424331072°E
Pieksämäen;maalaiskunta;62.287089926°N,
Pieksänmaa;{{Coord|||nimi=Pieksänmaa}};selvennä
Pielisensuu;62.621094570°N,;29.872218742°E
Pielisjärvi;63.320987370°N,;30.145706737°E
Pihlajavesi;62.344588666°N,;24.39061056°E
Piikkiö;60.426523128°N,;22.511788334°E
